"","AFG","ALB","AND","ARE","ARG","ARM","AUS","AUT","AZE","BEL","BFA","BGD","BGR","BHR","BIH","BLR","BOL","BRA","BRN","BTN","CAN","CHE","CHL","CHN","CIV","CMR","COD","COL","CRI","cruise","CUB","CYP","CZE","DEU","DNK","DOM","DZA","ECU","EGY","ESP","EST","FIN","FRA","GBR","GEO","GRC","GUF","GUY","HND","HRV","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KHM","KOR","KWT","LBN","LIE","LKA","LTU","LUX","LVA","MAR","MCO","MDA","MDV","MEX","MKD","MLT","MNG","MTQ","MYS","NGA","NLD","NOR","NPL","NZL","OMN","PAK","PAN","PER","PHL","POL","PRT","PRY","QAT","REU","ROU","RUS","SAU","SEN","SGP","SMR","SRB","SVK","SVN","SWE","TGO","THA","TUN","TUR","TWN","UKR","USA","VAT","VNM","ZAF"
"AFG",10414.9978432711,6.12228443148031,3.23331018908503,46.5241263797968,0.421910604936982,26.3949111042624,0.981398465749611,4.95252862758357,32.8368365887534,3.61084963721773,1.98271626231221,13.8925915977233,7.69886571946117,39.1733606232635,5.55863027172585,7.24620277466662,0.471528830713503,0.559967357091771,2.74336724150207,15.8072767262882,0.911409875187035,4.04294677395885,0.388277558100605,5.34220584316424,1.66640687837691,2.42910039006606,2.66378333150291,0.506981349431454,0.493305349267392,2.22145556359955,0.602833228462828,11.7943817041379,5.06500660074185,4.14647071182125,3.37766982216487,0.633268701280411,2.76536428268105,0.453060966393568,8.33147829212978,2.7082054191214,5.92543410339093,5.25885067296691,1.05101493206061,2.89804111723647,21.379219647948,6.53513172647615,0.656064135427072,0.614273502305985,0.520358499922728,5.07588524717125,5.89858651939523,2.48601676984591,29.2345898218577,2.74482040952002,77.9644790765252,26.0512982231076,2.39728069670373,12.4517414201132,4.51788824865842,0.584415817060456,13.8453627171766,2.33164977851793,4.51201593197815,3.08568571279284,35.1717478968788,13.6930845028016,4.21418360846903,9.0740076528366,6.18636284326936,3.82227583779932,6.09611164597192,2.26789988328098,3.89604500446868,8.34466658983579,8.60953158249476,0.540670049420702,6.54540841408396,4.70463972353184,7.66277939729169,0.66840854460378,2.79079785409439,2.48971489744524,3.74156839683214,3.90643957322163,27.1458637679523,0.518927463350964,41.7675127064598,393.18954813004,0.498643681025877,0.435680694919792,2.6286703571921,5.60819236231237,2.4094186837871,0.479501698047445,39.7312531762242,2.71181957551171,7.36477792474928,8.09032303765896,20.8109177299804,1.49555169970305,3.47570799666543,4.60413893743101,6.3293409093776,5.88343581344922,5.03777334424306,4.42593084153143,1.98942751170901,5.83436664368271,3.78887915888117,13.2170663297002,3.27863123599447,9.22957946856274,0.722965635335434,4.56869725246894,4.51450941132127,1.44720873586129
"ALB",6.12228443148031,10414.9978432711,41.4576001760878,7.43275978937757,0.668036165775474,22.6549790838781,0.500495400485301,142.899110839258,18.7179262844338,36.9619207750637,6.77741410359579,2.22958641514444,444.144726408447,9.43206690525856,735.496362855399,43.721527764281,0.877135130367394,1.08513299736327,0.987427729498476,2.39267252345728,1.58769671249134,76.369455421128,0.626889637162764,1.63859575866103,4.91742555502275,5.60979522521811,3.98921505616664,0.989475651566008,0.916275630222993,1.10333720406064,1.17225751260966,55.7640293484419,94.2579849906119,51.6726243690226,17.5179060418427,1.32404271203486,20.1518367684953,0.850237144738856,27.4259860051834,23.9402955450145,25.7738801746583,15.1367658349618,3.04172571432601,24.738877862703,26.9162028735749,1365.77664156385,1.44217685432513,1.31542001268365,0.95546781562007,281.363858779192,222.884750612695,0.92744242456001,2.9375043535333,16.3373603727872,10.4905827331595,18.992448371027,7.61915689608118,32.9107631883673,200.609188565402,1.15388330663273,29.841787489666,1.13760680711921,1.30963363244836,1.30809273948226,12.7144480833799,38.9086104782266,86.152884345456,1.99811055212496,39.946305772943,47.194471692849,31.639784064652,14.3411673939656,84.7420977520266,109.864805393962,2.19387608611501,0.869709046253296,5010.63712335156,169.58597503622,2.43079523914044,1.47883834249561,0.994930267679833,7.18932676469065,36.157271652594,19.0072860618387,2.86011136154017,0.311969275737954,5.89600265917317,4.84856105212176,0.943190856234701,0.810078643341512,0.99295713606743,69.5237266547765,17.1906534039044,0.857888150717119,8.89774358814365,1.64282635173193,230.832931703566,3.86993462327245,11.1866370657522,5.02755277259398,1.13493292784694,201.402426093755,944.424202705979,143.070043897733,207.457315370965,16.7100539561924,6.01175595060348,1.49887810264675,62.5409172958946,58.5185765812215,1.19135920326847,71.5472288898544,1.25410515310051,237.402793939395,1.32754249255416,1.58426656539999
"AND",3.23331018908503,41.4576001760878,10414.9978432711,3.6880733962637,0.80902607251227,7.65119672551,0.408654479377212,73.5391615408955,6.86328719527759,112.039954574851,8.81734475237436,1.49457641802285,26.0421181575607,4.35222534902373,57.3820280502386,18.7633442598944,1.15530993446925,1.44445255692121,0.75137281469707,1.59527973179778,2.17059158910062,195.41077130073,0.769702034255709,1.22141394225204,6.45535342654585,5.17596853927497,3.2528632460715,1.38196158786365,1.26261769303892,0.927454144663867,1.67981506137729,12.1354357509622,55.1924049340525,82.2961184421867,29.422364660321,1.96178700497145,38.784426365698,1.15499297367084,9.92728939187403,343.086804664282,17.0864268956774,12.2495139978547,5.68394958073828,239.683030524428,8.60982665164355,32.6209237910742,2.11659709137491,1.9163556360866,1.32006730855589,77.4568519433282,43.9224638729151,0.707266414465067,1.83820435662035,53.5456615539327,4.64697165465807,6.76189057850093,12.6331718361495,9.62050587371046,135.521239374867,1.65727522049302,9.00993887920106,0.950669388778833,0.956723764961798,1.0500089344838,5.28468109157012,10.1828755733073,149.900377771538,1.34398688710154,21.7219794213834,127.236935174683,19.1141217377906,50.1353027978898,402.24305945971,21.1303141759123,1.46062210561397,1.14538808608102,35.7272856539572,56.8909345851543,1.77447006877396,2.24122555094476,0.753206695843758,7.03941829417348,81.5857204542135,23.714880487067,1.83000607569869,0.264595152251643,3.12798446682501,2.71889088613391,1.30772877518435,1.08275414681113,0.771418845447438,35.0658311789914,126.400650884275,1.09771692363533,4.18455546502426,1.24551219243296,27.5696998416336,2.81059632029247,4.98711339868449,8.34227986026682,0.838272686539219,122.914064715573,39.6987765077546,40.5744898654897,76.0523058570688,16.4217532012293,7.09094147255278,1.07314917818187,75.9012480205772,12.2562475242838,0.92229983428343,17.4695747695962,1.71795138175118,122.19438214685,0.977192253247628,1.42330232321346
"ARE",46.5241263797968,7.43275978937757,3.6880733962637,10414.9978432711,0.5113454421408,25.7657656379032,0.880577253784309,5.29150640817345,28.0352869939289,3.70646547392843,2.79146556507,7.3304755906937,8.95328080865443,582.462702574882,6.34544504602197,6.40532707827675,0.548665395112286,0.667057127520828,2.13659692316405,7.45344397667522,0.810040999497447,4.38754453568838,0.464322323214006,3.1164229131718,2.30531783317867,3.88413579338941,4.58003192947192,0.541007497858236,0.502700008626748,1.51251244209407,0.600896028232981,18.3167369243471,5.18436251599288,4.22320372349228,3.14149394586693,0.656886231087457,3.67104149186643,0.486881137767123,16.9418949794514,3.1265400912735,5.0015011903566,4.17610693231743,1.15627466352361,3.10977129445886,19.638027507565,8.37099742877852,0.747391872253616,0.686128429940715,0.517814636956347,5.66572511944104,6.27462397191078,2.02906007259208,16.1460040143866,2.74890078830096,125.684781621692,51.3038237246651,2.152872793444,24.321869682779,5.22714702058217,0.59401989981005,27.6877622344337,1.57378139159705,3.25681409572512,1.98505431406832,132.049724339403,23.2567567266253,4.55047546732436,8.44287541894429,5.52642902973627,3.9730340073721,5.2800249192227,2.77741007987161,4.42450594014225,8.40059134481031,10.4564108688114,0.49856210780291,7.87106966917434,6.20331560283018,3.87983159754375,0.721552044193637,2.21785205392936,3.86725037198353,3.76969039267522,3.50895248388467,10.7257630251133,0.490845962456198,486.340388358142,35.6645587344039,0.515066637797487,0.483387695763988,1.91803517569879,5.45207580029657,2.7597845827031,0.572695217839101,963.856515673186,4.00980260510409,7.87930290957214,4.21524171155403,119.283132469945,1.92420679590915,2.85042321339127,5.24420916725287,7.18826266262879,6.06546881000924,5.51482771622859,3.75010232705609,2.87816225136153,3.98352446911945,4.97090653327539,16.9980373281877,2.19232890924553,8.81084352466936,0.661246643770028,5.3905523794615,3.09169261777561,2.10774454759748
"ARG",0.421910604936982,0.668036165775474,0.80902607251227,0.5113454421408,10414.9978432711,0.507808343287759,0.614226029646644,0.664975242252591,0.493394739886748,0.708604764127433,1.37173628229145,0.343419348483475,0.619849411015834,0.525175858080357,0.667829941164932,0.554837468581144,16.6335084880635,11.7576734546122,0.378789263211156,0.333168911725604,0.944066963414584,0.71417249782103,169.730280502229,0.269657423294331,1.61788431350475,1.23760861181929,1.14831554437011,4.19029615675263,3.04833809909064,0.310974181982497,2.09848802666869,0.603529967163004,0.643781178837702,0.675778646640643,0.656349418154868,2.46989218034101,0.998455891184761,5.3709619592837,0.688285714189886,0.890886526907168,0.550692141187474,0.529395534198679,1.7086947514583,0.801002915847319,0.510381545825213,0.669176657529937,4.31890894085776,4.28157831946526,2.45122861094736,0.677439591090551,0.634561312265381,0.407993741691076,0.39664984367739,0.758361285575623,0.487586652989241,0.539496334569896,0.683165829288506,0.613696188259494,0.717595053900917,2.42770652776607,0.600711644270239,0.305524636474924,0.35345666956911,0.278203870736894,0.529131522851166,0.592121758458982,0.702127779464439,0.441890046976886,0.569263233052812,0.703460803224887,0.55893917420914,1.05614645017525,0.747512785726564,0.578240202457309,0.498780267638499,1.57006549752644,0.653214745449262,0.757875132787438,0.288282077698224,2.89306452911093,0.390267094387027,1.20081565599077,0.689709161714005,0.614427992539653,0.352541101336271,1.12973361552498,0.505111300702566,0.407960704846944,3.3123386854247,8.48708613540858,0.340604888732454,0.609745496878115,0.941835200832991,33.3605013348556,0.523863937925589,0.846245462669355,0.606173315795776,0.347005328681796,0.573628160157303,1.65259063295406,0.405717964492448,0.706427592298625,0.643489212370967,0.624507437473462,0.671434758825606,0.570167152375835,1.40066369179399,0.345697788260517,0.830846990173498,0.572285291322367,0.298080155652995,0.558112273245763,1.20473444920375,0.723064976570876,0.330662760723628,1.68593563133555
"ARM",26.3949111042624,22.6549790838781,7.65119672551,25.7657656379032,0.507808343287759,10414.9978432711,0.689943103699027,15.1392989553757,2131.44980380485,8.78317168610034,3.30880932919867,4.73153184759196,36.3917318979936,37.2134975680026,18.9715313152432,25.299584900317,0.616581998859764,0.742663868011078,1.57691521005201,5.22219356735858,1.19627802475138,10.8020759148973,0.473024625274429,2.88552850255683,2.62500506537402,3.64476550198614,3.38795469583945,0.681832440553606,0.65118555453905,1.59078241224753,0.813018220282595,74.1464962195212,15.3722737756202,10.9095389856355,7.28632103254251,0.877665078858769,5.73609228939475,0.599400395723632,22.8191589975225,5.8614096263193,15.9819755978759,11.5765720644775,1.63981624963127,6.40958898558824,1217.74143872698,25.1997680780904,0.920103658799285,0.854292623372768,0.684242934397975,16.0376702408529,20.7648452702294,1.45663504760477,7.03652193455302,5.71335694332753,76.1013684764686,160.261035177932,4.24640639304051,54.4615141503612,13.1439095985123,0.792089028191154,64.4050369386053,1.65539073770967,2.26988185350731,2.02914118143027,69.6399664190404,87.6342869853794,11.5457034679666,3.8122375217507,18.994504175844,9.68119018181787,17.5927491187541,4.47925799784952,10.2659822085714,40.7653374179367,4.04549739952427,0.672253392503486,25.873810137225,13.5364927815619,4.51637415473973,0.944378248111448,1.59216521289154,4.04504544087969,9.17766585501599,8.75228761094079,6.87194121969065,0.399149698222672,17.3581871841074,16.6674506271763,0.663004605511039,0.572991491134791,1.56742044644769,17.6596955281173,4.94710924991533,0.613905261368897,33.4367357836424,2.12482185082718,32.4398727103589,6.93254803369694,31.4938165503813,2.44223193783821,1.87253672941622,13.5658352206788,24.27317741982,20.283774834334,15.7451836319792,9.8029182210554,3.19939572614902,2.71651724835281,9.44929614648322,138.16829386903,1.93052149188754,48.3051630288166,0.937182847592517,13.3866344367542,2.30200586619405,1.50703399967711
"AUS",0.981398465749611,0.500495400485301,0.408654479377212,0.880577253784309,0.614226029646644,0.689943103699027,10414.9978432711,0.474512903083197,0.714187623411813,0.435593134941798,0.400577060623697,1.79506959583207,0.533106264662253,0.81701947807425,0.487270044527773,0.549102844278289,0.447546693651197,0.407149946096634,5.90061814196546,1.67108891105668,0.472829660278892,0.444345468564778,0.620100196121203,2.10695228757498,0.392127893393827,0.50253726799159,0.620621797823748,0.400409811360533,0.435941294310321,2.37923642389045,0.394415842020141,0.599277112099926,0.482031076971969,0.455571785836646,0.452017623147235,0.351921676573789,0.398784452736537,0.441764701476111,0.589452321658098,0.382548042527046,0.539149137039784,0.551848940136227,0.262567110856966,0.398262685304548,0.667828962091318,0.510843335556415,0.328076135726817,0.339131536269521,0.438370362252845,0.47509551462321,0.499336125435055,7.09581411339659,1.44656772630363,0.405034917562523,0.814773374040622,0.704460187376735,0.437664075617519,0.622087184109518,0.456932884521716,0.38533231502751,0.635417931699582,2.33211552862386,3.40328831353007,2.24993801057359,0.762104573092874,0.622893546004919,0.450713689850445,1.91017063823768,0.52950963432115,0.441416970018819,0.535014042279039,0.36042558959294,0.435997375228447,0.550278201788025,1.64117092193627,0.533958537773536,0.509987016252454,0.466321080826553,1.36358659208097,0.322071198630679,5.88928964638964,0.46709088108901,0.443676710825674,0.479114811191456,1.46873530123737,6.93420079473745,0.953328730090469,1.08648737253769,0.422327704989507,0.457257392557226,5.03809906582565,0.502485992088874,0.365937643009287,0.476930314370435,0.829912546570483,1.35656061312512,0.529636572071263,0.948030458301649,0.754636045269276,0.338635171747802,4.40650681731404,0.460148195664887,0.505965526530646,0.501641200813312,0.475117112478454,0.512370874551866,0.421683463228095,2.7863317867502,0.436431577783977,0.607022860982985,3.21603353502849,0.567489441178598,0.466209758319369,0.458255294641342,3.23384655642629,0.817792670016647
"AUT",4.95252862758357,142.899110839258,73.5391615408955,5.29150640817345,0.664975242252591,15.1392989553757,0.474512903083197,10414.9978432711,13.1636069462885,137.727534983182,5.69459034487694,2.00624828166686,98.0548545798562,6.42489583225682,455.813155542086,73.1282442074036,0.912851136160392,1.11155953050187,0.924391671432739,2.17458931052443,1.97974166613466,424.306766866016,0.633769573808013,1.6082781682086,4.29779023200013,4.2547734587747,3.01965543591138,1.09624833480444,1.03414190093734,1.15150060400787,1.36297943750007,22.9898778027842,1426.3483024954,319.475963678308,41.3641590246395,1.52216920450951,16.8671299095788,0.930880905159387,13.2621492275764,34.3920842735052,49.9545967211994,25.9283653648713,3.58561023266058,52.4083989169306,18.385301844101,81.5952429953914,1.55403930206569,1.43469688202308,1.09300272512295,1339.78135135207,706.119499998896,0.860793775634565,2.49227447985657,34.8381341658845,7.43544242545451,11.4808424119928,12.8805858958238,15.6270865380348,342.5863443105,1.32689798305116,14.8045980759399,1.18543970434823,1.2077847927287,1.33915392405195,8.2706482400276,18.2427843114792,691.817941860186,1.69650540071394,87.4458328332003,222.499185854605,64.478111860373,15.5891979314109,205.94127297421,92.3425712988664,1.80721675139228,1.01251081809785,132.212316203761,60.4566615035007,2.46998981264899,1.66837138594985,0.924097896819375,5.41755888997008,141.705219370976,44.7655942715284,2.54108587146893,0.29895855892352,4.33911251109584,4.0040574630972,1.05990311647731,0.869557016620586,0.95736980394194,286.259136879971,23.9909944834192,0.872184903801389,6.1175521512436,1.34088905049466,150.722179310817,4.21768516306675,7.1150191840108,4.85914378826141,1.03044174979182,542.69260230078,248.117669706616,611.758309221702,4135.5488355871,33.5634597877687,4.93228326886524,1.37427659469319,40.4991063744737,27.0703185395921,1.16883698907575,64.7812438774851,1.51487431565395,240.024406007313,1.24338543130696,1.32497046841003
"AZE",32.8368365887534,18.7179262844338,6.86328719527759,28.0352869939289,0.493394739886748,2131.44980380485,0.714187623411813,13.1636069462885,10414.9978432711,7.94347860126506,3.07341664903618,5.19885570962331,28.8106316984956,39.5716570811019,16.0382724726149,22.4711079134078,0.596144821177439,0.715745107343443,1.6640292336529,5.77530369875629,1.17498021988658,9.56922895821646,0.459602841407435,3.1052187087791,2.45849764221314,3.41716260506995,3.237111160304,0.660546811011842,0.633569636645296,1.67032539607203,0.790228264543371,53.661094902368,13.4732434208288,9.77053973136101,6.78229821838929,0.848758503515254,5.18454310496716,0.581558987083381,19.5437456196655,5.32021251973609,14.7964332327186,11.0754271790886,1.55888978894343,5.841646274378,545.508720491956,20.5291806461711,0.883741860803281,0.822329419066414,0.666778050465414,13.7821058245135,17.6550206186199,1.53208328386135,7.80941046994691,5.28897813359914,94.8782621981147,136.898883100843,4.05526560071846,43.1015604914114,11.3990887905864,0.768671316895572,50.6840929735735,1.74016796780144,2.42082182985941,2.14959319217588,71.7169760875744,63.6932153535842,10.1958616338085,4.07391369103231,17.0919600023525,8.69212805748765,16.0679903740519,4.09923859213973,9.06450711717138,33.1090276404707,4.27353582372927,0.661176843234854,21.1322456965937,11.6143838508305,4.91116915988314,0.909240126244603,1.67926822320161,3.75657615605567,8.31190123316347,8.15749222442625,7.70652543730043,0.409584387383668,18.8490203914493,19.7681664612342,0.644159150748168,0.555370733253008,1.6560028754928,15.5412181950276,4.52670146919162,0.593754598966333,35.6807657042663,2.14278276257331,26.4666755797052,7.48249191909947,30.6475438533724,2.28557538409766,1.97879855959339,11.7624978908297,20.1058610329984,17.4046270118062,13.5925820118361,9.24523263471245,2.98268736957493,2.91528280870119,8.30737266014883,87.7999463031163,2.05105391675532,39.4035379215403,0.919265002666015,11.5700788062003,2.45961993862596,1.47608772272473
"BEL",3.61084963721773,36.9619207750637,112.039954574851,3.70646547392843,0.708604764127433,8.78317168610034,0.435593134941798,137.727534983182,7.94347860126506,10414.9978432711,5.38355655881611,1.66300292284569,28.8512510959926,4.35069429111224,60.6034079680468,36.3874305164517,1.01905078150706,1.23004852455335,0.819163909437171,1.80242533047435,2.51874173419269,338.406927081225,0.684289640455362,1.43250034436149,4.19855474345209,3.62093482445422,2.5094738682744,1.29302506466405,1.22965797300435,1.10583529542942,1.67358978512245,11.6049022969115,147.310045098461,806.903453821073,114.666076163876,1.87220439745239,15.5119274312695,1.08137051579393,8.00980646529426,54.4473686377555,39.256244949895,26.1892015756,4.74031957105855,198.204287415397,10.2723731961516,27.3955822599111,1.81903780967635,1.6916713364382,1.31216675479961,90.753955619709,69.1103013585478,0.760960082393026,1.97734491181641,140.994681149806,4.95328546840929,6.93203977692224,23.5810293605773,8.79095074393504,88.7470238546671,1.61782830910603,8.41747824417994,1.13471460941572,1.04658985749991,1.25078653278702,5.34628313196831,9.81188641037389,299.985564450333,1.38561764416014,50.059869343204,2791.98703472916,44.1184523716962,18.8417963500286,145.034419959837,30.5166835277491,1.4573758183747,1.21012280132273,34.4737765689871,29.1549081734239,2.19401972398051,2.03548364709286,0.814740103751563,4.62645328707928,3455.31209659816,81.3463116948573,2.0562758481764,0.285986981943375,3.1353805702078,3.01064011264859,1.25910869255719,0.99354117241099,0.865056324041897,89.0883599299807,39.5942301140013,0.952759426367376,4.1782182171125,1.12464647337545,37.2440518337638,3.78157170022203,4.726917246934,5.26286985256335,0.89190530176669,100.796033303124,45.3445422608526,75.0503177578293,107.683050063502,42.5135726886176,4.54719428839692,1.1785284025776,27.3114617318296,13.042692141826,1.06009419050105,25.7416930474985,1.88362105464518,71.2023367471817,1.08642773802499,1.17986095330076
